Floor,Level name,Elevation,Rotation deg,Space ID,Space name,Type,Department,Qty,Unit area,Total area,Occupants,Local X,Local Y,World X,World Y,World Z,Radius,Daylight,Locked,Hand-placed,Stack group
1,Level 01 — Lower Grades,4.200,40,1024,General Classroom 206,General Classroom,Learning,1,74.00,74.00,26,-8.739,12.910,-14.696,4.853,4.200,4.853,yes,no,no,
1,Level 01 — Lower Grades,4.200,40,1025,General Classroom 207,General Classroom,Learning,1,74.00,74.00,26,-10.676,3.129,-9.893,-3.884,4.200,4.853,yes,no,no,
1,Level 01 — Lower Grades,4.200,40,1026,General Classroom 208,General Classroom,Learning,1,74.00,74.00,26,-17.134,8.222,-18.114,-4.135,4.200,4.853,yes,no,no,
1,Level 01 — Lower Grades,4.200,40,1027,General Classroom 209,General Classroom,Learning,1,74.00,74.00,26,-21.517,-2.220,-14.759,-14.951,4.200,4.853,yes,no,no,
1,Level 01 — Lower Grades,4.200,40,1028,General Classroom 210,General Classroom,Learning,1,74.00,74.00,26,-21.682,-12.808,-8.080,-23.168,4.200,4.853,yes,no,no,
1,Level 01 — Lower Grades,4.200,40,1029,General Classroom 211,General Classroom,Learning,1,74.00,74.00,26,-13.445,-7.050,-5.471,-13.462,4.200,4.853,yes,no,no,
1,Level 01 — Lower Grades,4.200,40,1030,General Classroom 212,General Classroom,Learning,1,74.00,74.00,26,-18.561,-23.835,1.400,-29.609,4.200,4.853,yes,no,no,
1,Level 01 — Lower Grades,4.200,40,1031,Small Group / SPED 201,Small Group / SPED,Learning,1,34.00,34.00,8,-13.278,0.591,-10.254,-7.501,4.200,3.290,yes,no,no,
1,Level 01 — Lower Grades,4.200,40,1032,Small Group / SPED 202,Small Group / SPED,Learning,1,34.00,34.00,8,-13.663,-15.183,-0.410,-19.833,4.200,3.290,yes,no,no,
1,Level 01 — Lower Grades,4.200,40,1033,Art / Maker 201,Art / Maker,Learning,1,104.00,104.00,26,-4.465,-32.313,17.647,-27.043,4.200,5.754,yes,no,no,
1,Level 01 — Lower Grades,4.200,40,1034,Library / Media 201,Library / Media,Commons,1,190.00,190.00,60,-1.973,-18.935,10.956,-15.193,4.200,7.777,yes,no,no,
1,Level 01 — Lower Grades,4.200,40,1035,Toilet Group 201,Toilet Group,Support,1,44.00,44.00,0,18.050,-19.076,26.386,-2.431,4.200,3.742,no,no,no,
1,Level 01 — Lower Grades,4.200,40,1036,Toilet Group 202,Toilet Group,Support,1,44.00,44.00,0,10.919,-4.727,11.700,3.979,4.200,3.742,no,no,no,
1,Level 01 — Lower Grades,4.200,40,1037,Storage / Support 201,Storage / Support,Support,1,38.00,38.00,0,25.093,-23.946,34.912,-1.634,4.200,3.478,no,no,no,
1,Level 01 — Lower Grades,4.200,40,1038,Staff / Workroom 201,Staff / Workroom,Support,1,70.00,70.00,20,23.688,-11.540,25.861,6.967,4.200,4.720,yes,no,no,
1,Level 01 — Lower Grades,4.200,40,1061,Stair 01 + Lift,Vertical Core,Circulation,1,58.00,58.00,0,-8.161,-22.063,8.227,-21.567,4.200,4.297,no,no,no,core0
1,Level 01 — Lower Grades,4.200,40,1064,Stair 02 + Lift,Vertical Core,Circulation,1,58.00,58.00,0,5.342,-27.128,21.827,-16.767,4.200,4.297,no,no,no,core1
1,Level 01 — Lower Grades,4.200,40,1067,Service Core + Risers,Vertical Core,Circulation,1,58.00,58.00,0,8.745,-20.584,20.227,-9.567,4.200,4.297,no,no,no,core2
2,Level 02 — Upper Grades,8.400,80,1039,General Classroom 301,General Classroom,Learning,1,74.00,74.00,26,2.405,-17.644,17.945,0.521,8.400,4.853,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1040,General Classroom 302,General Classroom,Learning,1,74.00,74.00,26,8.523,-25.353,26.599,5.207,8.400,4.853,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1041,General Classroom 303,General Classroom,Learning,1,74.00,74.00,26,13.472,-16.304,18.547,11.653,8.400,4.853,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1042,General Classroom 304,General Classroom,Learning,1,74.00,74.00,26,17.130,-4.124,7.187,17.370,8.400,4.853,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1043,General Classroom 305,General Classroom,Learning,1,74.00,74.00,26,14.719,7.550,-4.728,17.023,8.400,4.853,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1044,General Classroom 306,General Classroom,Learning,1,74.00,74.00,26,10.474,-9.134,10.965,9.945,8.400,4.853,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1045,General Classroom 307,General Classroom,Learning,1,74.00,74.00,26,9.738,1.886,-0.015,11.134,8.400,4.853,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1046,General Classroom 308,General Classroom,Learning,1,74.00,74.00,26,-9.103,9.215,-10.504,-6.148,8.400,4.853,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1047,General Classroom 309,General Classroom,Learning,1,74.00,74.00,26,6.061,12.836,-11.438,9.414,8.400,4.853,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1048,General Classroom 310,General Classroom,Learning,1,74.00,74.00,26,-12.312,2.664,-4.610,-10.446,8.400,4.853,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1049,General Classroom 311,General Classroom,Learning,1,74.00,74.00,26,-14.246,19.605,-21.630,-9.408,8.400,4.853,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1050,General Classroom 312,General Classroom,Learning,1,74.00,74.00,26,-5.267,19.762,-20.225,-0.538,8.400,4.853,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1051,STEM / Science Lab 301,STEM / Science Lab,Learning,1,98.00,98.00,26,-21.957,-1.533,-2.151,-20.673,8.400,5.585,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1052,STEM / Science Lab 302,STEM / Science Lab,Learning,1,98.00,98.00,26,-17.760,9.330,-12.121,-14.653,8.400,5.585,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1053,Music 301,Music,Learning,1,96.00,96.00,30,-12.250,-11.595,9.443,-12.861,8.400,5.528,no,no,no,
2,Level 02 — Upper Grades,8.400,80,1054,Small Group / SPED 301,Small Group / SPED,Learning,1,34.00,34.00,8,-10.922,-0.959,-0.801,-9.706,8.400,3.290,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1055,Small Group / SPED 302,Small Group / SPED,Learning,1,34.00,34.00,8,-15.684,-3.826,1.195,-14.894,8.400,3.290,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1056,Toilet Group 301,Toilet Group,Support,1,44.00,44.00,0,-1.832,-14.583,14.194,-3.120,8.400,3.742,no,no,no,
2,Level 02 — Upper Grades,8.400,80,1057,Toilet Group 302,Toilet Group,Support,1,44.00,44.00,0,-0.559,-28.324,27.948,-4.253,8.400,3.742,no,no,no,
2,Level 02 — Upper Grades,8.400,80,1058,Storage / Support 301,Storage / Support,Support,1,38.00,38.00,0,17.601,-29.333,32.095,13.456,8.400,3.478,no,no,no,
2,Level 02 — Upper Grades,8.400,80,1059,Staff / Workroom 301,Staff / Workroom,Support,1,70.00,70.00,20,23.948,-20.741,24.735,21.199,8.400,4.720,yes,no,no,
2,Level 02 — Upper Grades,8.400,80,1062,Stair 01 + Lift,Vertical Core,Circulation,1,58.00,58.00,0,-21.035,-11.909,8.227,-21.567,8.400,4.297,no,no,no,core0
2,Level 02 — Upper Grades,8.400,80,1065,Stair 02 + Lift,Vertical Core,Circulation,1,58.00,58.00,0,-13.946,-24.469,21.827,-16.767,8.400,4.297,no,no,no,core1
2,Level 02 — Upper Grades,8.400,80,1068,Service Core + Risers,Vertical Core,Circulation,1,58.00,58.00,0,-7.133,-21.643,20.227,-9.567,8.400,4.297,no,no,no,core2

Area schedule
Type,Department,Target,Placed,Units,Variance
General Classroom,Learning,1750.00,1776.00,24,26.00
Kindergarten,Learning,476.00,480.00,5,4.00
Small Group / SPED,Learning,140.00,136.00,4,-4.00
STEM / Science Lab,Learning,196.00,196.00,2,-0.00
Art / Maker,Learning,105.00,104.00,1,-1.00
Music,Learning,98.00,96.00,1,-2.00
Library / Media,Commons,189.00,190.00,1,1.00
Cafeteria / Commons,Commons,301.00,300.00,1,-1.00
Kitchen / Servery,Commons,119.00,120.00,1,1.00
Gymnasium,Commons,427.00,430.00,1,3.00
Stage / Assembly,Commons,112.00,110.00,1,-2.00
Administration,Support,133.00,130.00,1,-3.00
Health / Counseling,Support,49.00,48.00,1,-1.00
Staff / Workroom,Support,210.00,210.00,3,0.00
Toilet Group,Support,266.00,264.00,6,-2.00
Storage / Support,Support,112.00,152.00,4,40.00
Mech / Electrical,Support,56.00,56.00,1,0.00
Vertical Core,Circulation,525.00,522.00,9,-3.00
Entry / Lobby,Circulation,119.00,120.00,1,1.00
Outdoor Learning,Outdoor,133.00,130.00,1,-3.00

Totals,GFA,9320.68,Net,5440.00,Net:gross,58.36%,m2/student,13.32
